date,open,high,low,close,volume,currency_volume,SMA,CCI,ADX,STOCH,ATR,upper_bb,middle_band,lower_bb,RSI,MOM,EMA,MACD,MACDSingal,FearGreedIndex,btcDominance,ethDominance,score,activeCryptocurrencies,activeMarketPairs,activeExchanges,totalCryptocurrencies,totalExchanges,USDtotalMarketCap,USDtotalVolume24H,USDtotalVolume24HReported,USDaltcoinVolume24H,USDaltcoinVolume24HReported,USDaltcoinMarketCap,googlePrice,googleVolume,METAPrice,METAVolume,APPLEPrice,APPLEVolume,AMAZONPrice,AMAZONVolume
2018-03-01,10702.8,11188.1,10681.6,10854.9,9753.2937455,106948014.71991676,10296.171428571428,84.13004621047378,16.16524178816219,63.07352350341501,876.4357142857144,11814.45271353976,10080.475,8346.49728646024,55.67589411846922,-642.5,10505.35703099068,131.52461444636174,-4.825541889992806,38,39.862,11.7061,1519862400000.0,2166.0,18205.0,259.0,7371.0,1180.0,440083808256.0,17487165440.0,0.0,10572386304.0,0.0,264657403904.0,53.5705,0,175.94,0,43.75,0,74.6725,0
2018-03-02,10854.9,11497.9,10778.9,11479.9,9722.92361999,109500058.350186,10545.942857142858,110.61400907616922,16.81235832009,88.18400964242666,858.3642857142859,11889.83192097875,10233.17,8576.50807902125,60.16369557842569,896.8999999999996,10748.99277324301,212.04635416294332,38.54883732059488,47,40.3872,11.7061,1519948800000.0,2166.0,18205.0,259.0,7371.0,1180.0,459194007552.0,18292068352.0,0.0,10980808704.0,0.0,273738252288.0,54.207,0,176.62,0,44.0525,0,75.0125,0
2018-03-05,11499.3,11684.6,10804.7,10972.5,9334.65150882,104730793.36328672,11024.528571428573,81.5176243247873,18.11371692471544,67.79831257533145,789.0714285714286,11808.170454491463,10591.75,9375.329545508537,54.23492138272191,1241.0,11000.814138711892,293.28779286673307,157.42114251832075,55,41.4238,11.7061,1520208000000.0,2166.0,18205.0,259.0,7371.0,1180.0,470507716608.0,15784275968.0,0.0,9700175872.0,0.0,275605684224.0,54.738,0,180.4,0,44.205,0,76.1805,0
2018-03-06,10963.9,10998.8,10410.0,10663.9,9250.42853602,98497607.50156955,11046.842857142856,10.570548418042648,17.145804641701787,57.463743957326194,733.6999999999999,11791.794460766787,10635.5,9479.205539233213,51.441627253994575,1264.0,10916.585604033919,261.7445420538861,178.2858224254339,59,41.9117,11.7061,1520294400000.0,2166.0,18205.0,259.0,7371.0,1180.0,463779102720.0,17893974016.0,0.0,11389825024.0,0.0,269401538560.0,55.045,0,179.78,0,44.1675,0,76.882,0
2018-03-07,10669.4,10706.1,9411.6,9892.5,11800.02528574,116441365.60852292,10928.971428571429,-96.8465709524789,17.28758559495932,25.316719453242204,742.6499999999999,11800.361150952736,10629.66,9458.958849047263,45.17790948903767,-385.39999999999964,10660.564203025438,172.5127393447783,177.1312058093028,37,41.6564,11.7061,1520380800000.0,2166.0,18205.0,259.0,7371.0,1180.0,438422306816.0,17150973952.0,0.0,10385684480.0,0.0,255791300608.0,55.752,0,183.71,0,43.7575,0,77.25,0
2018-03-08,9894.4,9899.0,8350.0,8931.7,12436.79686313,111091399.7268282,10654.22857142857,-195.01707548973627,18.54821557282089,17.444371138967213,793.2928571428571,11934.68423440474,10540.795000000002,9146.905765595264,38.8351215137218,-1652.0,10228.348152269078,23.991506565904274,146.503265960623,39,41.715,11.7061,1520467200000.0,2166.0,18205.0,259.0,7371.0,1180.0,403310084096.0,21073948672.0,0.0,12286519296.0,0.0,235069292544.0,56.469,0,182.34,0,44.235,0,77.593,0
2018-03-09,8931.7,9487.9,8650.0,9359.9,10490.46572537,96712663.99092425,10351.371428571429,-149.0366982373628,19.71879378505748,30.28549151322496,787.0714285714286,11968.970214083622,10479.055,8989.139785916379,42.69642662537289,-1147.800000000001,10011.236114201809,-58.486557954569435,105.50530117758441,37,42.0036,11.7061,1520553600000.0,2166.0,18205.0,259.0,7371.0,1180.0,378979811328.0,17731414016.0,0.0,10543873024.0,0.0,219794817024.0,58.042,0,185.23,0,44.995,0,78.9445,0
2018-03-12,9178.0,9489.0,8763.8,9071.1,7546.3157491,68932074.61135013,9451.385714285714,-107.48939058741324,21.846703864140068,21.62478258261861,798.6499999999999,11829.275297999666,10181.225,8533.174702000335,41.108252207058506,-2408.7999999999993,9486.563673178889,-255.47261133679058,-48.41836964095289,41,41.7714,11.7061,1520812800000.0,2166.0,18205.0,259.0,7371.0,1180.0,388832690176.0,14976182272.0,0.0,8683931648.0,0.0,226411970560.0,58.2965,0,184.76,0,45.43,0,79.9195,0
2018-03-13,9078.8,9344.0,8580.0,8719.5,6754.78028831,60762917.72906538,9173.614285714286,-113.61623509002406,22.57567496927019,11.080789300065973,803.3642857142856,11890.042840779712,10117.7,8345.35715922029,38.62945001798373,-2413.7999999999993,9294.797754884166,-320.95773287780503,-102.92624228832335,41,41.7259,11.7061,1520899200000.0,2166.0,18205.0,259.0,7371.0,1180.0,371874988032.0,15279132672.0,0.0,8840292352.0,0.0,216706727936.0,56.9955,0,181.88,0,44.9925,0,79.409,0
2018-03-14,8723.9,8724.9,7670.0,8109.7,9386.06053057,76072566.1430383,8918.92857142857,-151.93722268169154,24.046081346612027,10.952523289991525,834.9571428571427,11990.42950892891,10007.68,8024.930491071092,34.719189653391126,-3396.0999999999995,8998.523316163124,-417.25083296887897,-165.7911604244345,40,41.8494,11.7061,1520985600000.0,2166.0,18205.0,259.0,7371.0,1180.0,372504068096.0,13878729728.0,0.0,7874420224.0,0.0,216613486592.0,57.4445,0,184.19,0,44.61,0,79.55,0
