date,open,high,low,close,volume,currency_volume
2023-06-10 14:00:00+08:00,1751.99,1764.0,1734.3,1744.95,35625097,356250.97
2023-06-10 13:00:00+08:00,1788.46,1793.11,1724.0,1751.99,50817038,508170.38
2023-06-10 12:00:00+08:00,1827.37,1832.0,1781.79,1788.46,41509852,415098.52
2023-06-10 11:00:00+08:00,1829.77,1833.33,1822.4,1827.38,12069916,120699.16
2023-06-10 10:00:00+08:00,1835.93,1840.0,1826.66,1829.97,12191333,121913.33
2023-06-10 09:00:00+08:00,1837.3,1845.33,1829.0,1835.82,11484257,114842.57
2023-06-10 08:00:00+08:00,1840.95,1842.0,1836.0,1837.27,4528424,45284.24
2023-06-10 07:00:00+08:00,1838.89,1843.33,1836.75,1840.9,3947286,39472.86
2023-06-10 06:00:00+08:00,1837.37,1840.0,1835.58,1838.89,2542580,25425.8
2023-06-10 05:00:00+08:00,1837.59,1840.51,1834.7,1837.38,2867801,28678.01
2023-06-10 04:00:00+08:00,1831.59,1837.72,1828.0,1837.57,6380405,63804.05
2023-06-10 03:00:00+08:00,1838.49,1843.0,1830.61,1831.49,8524494,85244.94
2023-06-10 02:00:00+08:00,1841.98,1845.0,1836.36,1838.54,6201741,62017.41
2023-06-10 01:00:00+08:00,1840.91,1846.67,1836.67,1841.98,6131954,61319.54
2023-06-10 00:00:00+08:00,1842.02,1844.0,1838.5,1840.85,6901690,69016.9
2023-06-09 23:00:00+08:00,1844.86,1851.85,1840.41,1842.12,7733399,77333.99
2023-06-09 22:00:00+08:00,1847.6,1851.87,1841.07,1844.86,10504494,105044.94
2023-06-09 21:00:00+08:00,1851.99,1856.0,1845.6,1847.58,10560171,105601.71
2023-06-09 20:00:00+08:00,1843.78,1855.0,1841.03,1851.99,8176503,81765.03
2023-06-09 19:00:00+08:00,1844.01,1847.0,1839.76,1843.79,4731718,47317.18
2023-06-09 18:00:00+08:00,1844.16,1847.17,1842.2,1844.14,4011937,40119.37
2023-06-09 17:00:00+08:00,1842.63,1848.0,1836.26,1844.14,7166561,71665.61
2023-06-09 16:00:00+08:00,1836.39,1843.62,1834.5,1842.63,3886067,38860.67
2023-06-09 15:00:00+08:00,1837.59,1840.17,1831.36,1836.4,6883721,68837.21
2023-06-09 14:00:00+08:00,1839.29,1841.81,1833.67,1837.6,4107435,41074.35
2023-06-09 13:00:00+08:00,1837.8,1840.46,1832.0,1839.29,3012198,30121.98
2023-06-09 12:00:00+08:00,1837.99,1842.18,1832.8,1838.38,2008250,20082.5
2023-06-09 11:00:00+08:00,1835.81,1838.72,1830.0,1838.54,4850789,48507.89
2023-06-09 10:00:00+08:00,1843.0,1844.41,1827.14,1835.9,10238592,102385.92
2023-06-09 09:00:00+08:00,1844.02,1849.33,1840.0,1843.18,6166084,61660.84
2023-06-09 08:00:00+08:00,1845.68,1850.0,1843.11,1844.03,4597274,45972.74
2023-06-09 07:00:00+08:00,1849.58,1852.0,1844.52,1845.65,3889292,38892.92
2023-06-09 06:00:00+08:00,1851.63,1852.88,1847.84,1849.57,2709355,27093.55
2023-06-09 05:00:00+08:00,1853.04,1854.57,1849.6,1851.89,1850673,18506.73
2023-06-09 04:00:00+08:00,1847.63,1853.93,1846.5,1853.04,3478765,34787.65
2023-06-09 03:00:00+08:00,1846.19,1850.0,1840.0,1847.79,6700803,67008.03
2023-06-09 02:00:00+08:00,1843.92,1849.8,1840.0,1846.21,4211737,42117.37
2023-06-09 01:00:00+08:00,1846.16,1847.43,1840.05,1844.08,6100800,61008.0
2023-06-09 00:00:00+08:00,1855.94,1857.0,1841.03,1846.3,15379160,153791.6
2023-06-08 23:00:00+08:00,1857.33,1862.88,1850.0,1855.87,12046857,120468.57
2023-06-08 22:00:00+08:00,1846.31,1860.0,1840.91,1857.31,16479991,164799.91
2023-06-08 21:00:00+08:00,1845.49,1852.0,1839.21,1846.3,15712976,157129.76
2023-06-08 20:00:00+08:00,1843.39,1852.72,1839.23,1845.49,12703730,127037.3
2023-06-08 19:00:00+08:00,1845.15,1849.99,1842.0,1843.39,5164888,51648.88
2023-06-08 18:00:00+08:00,1839.56,1845.29,1838.0,1845.16,5166512,51665.12
2023-06-08 17:00:00+08:00,1841.01,1843.95,1834.2,1839.56,4809835,48098.35
2023-06-08 16:00:00+08:00,1841.79,1845.0,1830.0,1841.1,4621739,46217.39
2023-06-08 15:00:00+08:00,1837.33,1845.0,1836.0,1841.82,2423178,24231.78
2023-06-08 14:00:00+08:00,1836.97,1842.17,1831.68,1837.33,2556325,25563.25
2023-06-08 13:00:00+08:00,1838.14,1841.33,1835.91,1836.96,4708814,47088.14
2023-06-08 12:00:00+08:00,1835.48,1840.92,1833.44,1838.14,5304818,53048.18
2023-06-08 11:00:00+08:00,1837.35,1839.0,1828.0,1835.46,9113901,91139.01
2023-06-08 10:00:00+08:00,1838.6,1844.0,1832.33,1837.34,5541076,55410.76
2023-06-08 09:00:00+08:00,1835.8,1840.0,1832.0,1838.59,6662899,66628.99
2023-06-08 08:00:00+08:00,1832.57,1840.0,1830.75,1835.77,8546768,85467.68
2023-06-08 07:00:00+08:00,1830.37,1839.77,1825.17,1832.57,7889949,78899.49
2023-06-08 06:00:00+08:00,1822.0,1840.0,1820.63,1830.18,12922296,129222.96
2023-06-08 05:00:00+08:00,1841.46,1844.71,1820.0,1822.01,9509566,95095.66
2023-06-08 04:00:00+08:00,1850.43,1851.25,1838.46,1841.53,6009529,60095.29
2023-06-08 03:00:00+08:00,1849.33,1853.98,1840.31,1850.6,6053740,60537.4
2023-06-08 02:00:00+08:00,1849.31,1856.0,1844.0,1849.3,8490823,84908.23
2023-06-08 01:00:00+08:00,1840.4,1853.98,1836.49,1849.35,12727032,127270.32
2023-06-08 00:00:00+08:00,1839.46,1845.72,1833.08,1840.41,20448972,204489.72
2023-06-07 23:00:00+08:00,1844.42,1852.55,1835.52,1839.46,22486018,224860.18
2023-06-07 22:00:00+08:00,1864.57,1864.57,1835.0,1844.43,28165033,281650.33
2023-06-07 21:00:00+08:00,1865.17,1869.0,1857.21,1864.49,13235140,132351.4
2023-06-07 20:00:00+08:00,1870.52,1873.33,1860.0,1865.11,7002842,70028.42
2023-06-07 19:00:00+08:00,1857.27,1874.44,1856.0,1870.56,17521364,175213.64
2023-06-07 18:00:00+08:00,1852.21,1860.0,1844.53,1857.25,14516469,145164.69
2023-06-07 17:00:00+08:00,1875.17,1876.0,1850.67,1852.22,19979880,199798.8
2023-06-07 16:00:00+08:00,1875.2,1880.0,1872.0,1875.17,5597076,55970.76
2023-06-07 15:00:00+08:00,1876.17,1881.25,1872.0,1875.15,6055184,60551.84
2023-06-07 14:00:00+08:00,1880.19,1887.89,1874.6,1876.14,6308607,63086.07
2023-06-07 13:00:00+08:00,1879.51,1884.0,1876.0,1880.13,5224288,52242.88
2023-06-07 12:00:00+08:00,1878.07,1882.0,1874.67,1879.52,5610325,56103.25
2023-06-07 11:00:00+08:00,1876.73,1883.15,1870.0,1878.06,11656673,116566.73
2023-06-07 10:00:00+08:00,1879.02,1883.67,1870.0,1876.74,11723410,117234.1
2023-06-07 09:00:00+08:00,1885.37,1886.83,1869.39,1879.01,14782745,147827.45
2023-06-07 08:00:00+08:00,1883.89,1895.33,1881.25,1885.8,14708066,147080.66
2023-06-07 07:00:00+08:00,1882.72,1888.0,1875.77,1883.82,9089705,90897.05
2023-06-07 06:00:00+08:00,1880.14,1884.79,1877.93,1882.73,3825647,38256.47
2023-06-07 05:00:00+08:00,1877.0,1884.0,1874.0,1880.14,6480939,64809.39
2023-06-07 04:00:00+08:00,1892.24,1895.8,1872.0,1877.0,13920457,139204.57
2023-06-07 03:00:00+08:00,1874.6,1900.0,1872.0,1892.19,17353816,173538.16
2023-06-07 02:00:00+08:00,1874.85,1881.16,1872.0,1874.6,10658054,106580.54
2023-06-07 01:00:00+08:00,1863.85,1888.75,1854.17,1874.89,31779454,317794.54
2023-06-07 00:00:00+08:00,1841.86,1867.0,1838.39,1863.82,26084867,260848.67
2023-06-06 23:00:00+08:00,1838.8,1845.0,1832.0,1841.91,21566025,215660.25
2023-06-06 22:00:00+08:00,1817.42,1841.0,1817.21,1838.78,35106650,351066.5
2023-06-06 21:00:00+08:00,1805.76,1820.0,1800.0,1817.45,25402565,254025.65
2023-06-06 20:00:00+08:00,1813.62,1820.0,1799.79,1805.76,25028105,250281.05
2023-06-06 19:00:00+08:00,1818.37,1822.32,1810.6,1813.61,6038637,60386.37
2023-06-06 18:00:00+08:00,1815.43,1824.0,1815.41,1818.37,4025958,40259.58
2023-06-06 17:00:00+08:00,1815.43,1815.43,1815.42,1815.42,2,0.02
2023-06-06 16:00:00+08:00,1812.78,1820.0,1812.0,1815.43,5307705,53077.05
2023-06-06 15:00:00+08:00,1812.91,1820.0,1810.0,1812.78,6770957,67709.57
2023-06-06 14:00:00+08:00,1815.39,1820.0,1812.0,1812.91,5795887,57958.87
2023-06-06 13:00:00+08:00,1817.87,1820.0,1810.0,1815.6,5889289,58892.89
2023-06-06 12:00:00+08:00,1811.63,1820.0,1808.0,1817.85,6313460,63134.6
2023-06-06 11:00:00+08:00,1813.21,1816.0,1805.0,1811.64,5805099,58050.99
2023-06-06 10:00:00+08:00,1805.21,1814.0,1800.82,1813.2,7934696,79346.96
2023-06-06 09:00:00+08:00,1811.23,1812.07,1804.0,1805.21,7738495,77384.95
2023-06-06 08:00:00+08:00,1810.58,1817.18,1804.61,1811.25,7332250,73322.5
2023-06-06 07:00:00+08:00,1807.28,1816.84,1805.33,1810.58,7645422,76454.22
2023-06-06 06:00:00+08:00,1807.5,1810.0,1798.57,1807.5,6458658,64586.58
2023-06-06 05:00:00+08:00,1805.25,1807.5,1795.0,1807.5,8540941,85409.41
2023-06-06 04:00:00+08:00,1806.62,1816.15,1802.27,1805.26,7524305,75243.05
2023-06-06 03:00:00+08:00,1807.48,1815.0,1800.0,1806.61,13638108,136381.08
2023-06-06 02:00:00+08:00,1816.22,1820.0,1802.91,1807.48,15262508,152625.08
2023-06-06 01:00:00+08:00,1813.49,1820.0,1800.0,1816.23,17875402,178754.02
2023-06-06 00:00:00+08:00,1822.73,1824.45,1780.0,1813.43,57357627,573576.27
2023-06-05 23:00:00+08:00,1868.4,1868.98,1822.73,1822.73,42335198,423351.98
2023-06-05 22:00:00+08:00,1867.31,1872.0,1864.0,1868.37,12158560,121585.6
2023-06-05 21:00:00+08:00,1865.38,1872.0,1860.0,1867.36,11725619,117256.19
2023-06-05 20:00:00+08:00,1870.02,1872.31,1862.5,1865.39,8279314,82793.14
2023-06-05 19:00:00+08:00,1864.7,1871.67,1863.0,1870.47,8075253,80752.53
2023-06-05 18:00:00+08:00,1869.99,1872.88,1864.21,1864.75,8027162,80271.62
2023-06-05 17:00:00+08:00,1870.35,1878.57,1868.0,1869.99,6085518,60855.18
2023-06-05 16:00:00+08:00,1873.31,1878.0,1868.36,1870.27,5297462,52974.62
2023-06-05 15:00:00+08:00,1869.94,1878.0,1866.67,1873.22,6434284,64342.84
2023-06-05 14:00:00+08:00,1871.13,1877.57,1864.0,1869.95,15937133,159371.33
2023-06-05 13:00:00+08:00,1870.9,1874.0,1863.0,1871.2,10511891,105118.91
2023-06-05 12:00:00+08:00,1870.3,1876.0,1864.0,1871.0,11392125,113921.25
2023-06-05 11:00:00+08:00,1875.35,1882.4,1868.19,1870.36,20285948,202859.48
2023-06-05 10:00:00+08:00,1884.38,1888.34,1872.9,1875.45,10427138,104271.38
2023-06-05 09:00:00+08:00,1882.25,1889.42,1875.0,1884.39,12081175,120811.75
2023-06-05 08:00:00+08:00,1889.9,1892.0,1880.0,1882.33,14342532,143425.32
2023-06-05 07:00:00+08:00,1901.43,1904.22,1886.14,1890.01,12228205,122282.05
2023-06-05 06:00:00+08:00,1902.29,1913.05,1898.36,1901.44,12672710,126727.1
2023-06-05 05:00:00+08:00,1904.76,1908.0,1900.0,1902.29,3117159,31171.59
2023-06-05 04:00:00+08:00,1904.66,1907.33,1900.0,1904.66,2460443,24604.43
2023-06-05 03:00:00+08:00,1903.23,1905.79,1900.0,1904.63,1939747,19397.47
2023-06-05 02:00:00+08:00,1898.67,1905.65,1898.35,1903.24,3748183,37481.83
2023-06-05 01:00:00+08:00,1898.17,1903.83,1895.33,1898.67,4267280,42672.8
2023-06-05 00:00:00+08:00,1901.4,1908.0,1896.0,1898.07,7954576,79545.76
2023-06-04 23:00:00+08:00,1905.75,1908.8,1901.03,1901.41,5305680,53056.8
2023-06-04 22:00:00+08:00,1907.42,1912.0,1898.3,1905.7,11103149,111031.49
2023-06-04 21:00:00+08:00,1904.34,1914.0,1900.0,1907.41,6249018,62490.18
2023-06-04 20:00:00+08:00,1903.0,1912.0,1898.0,1904.3,4444805,44448.05
2023-06-04 19:00:00+08:00,1904.89,1910.0,1898.0,1902.98,4784865,47848.65
2023-06-04 18:00:00+08:00,1905.39,1910.0,1901.67,1904.83,3461621,34616.21
2023-06-04 17:00:00+08:00,1899.33,1909.5,1897.32,1905.39,11188533,111885.33
2023-06-04 16:00:00+08:00,1899.63,1902.0,1895.0,1899.15,4467107,44671.07
2023-06-04 15:00:00+08:00,1898.44,1905.0,1894.48,1899.64,5397123,53971.23
2023-06-04 14:00:00+08:00,1891.59,1900.0,1890.68,1898.5,5728540,57285.4
2023-06-04 13:00:00+08:00,1894.59,1894.76,1891.0,1891.58,2759833,27598.33
2023-06-04 12:00:00+08:00,1893.77,1899.0,1893.21,1894.65,2904842,29048.42
